Wavelength(nm)	n	k
3507,77935	5,07207	0,05631
3417,86108	5,07702	0,05859
3332,43752	5,08216	0,06096
3251,17986	5,08746	0,06344
3173,79063	5,09294	0,06604
3100		5,09861	0,06878
3029,56267	5,10447	0,07166
2962,25514	5,11051	0,07472
2897,87333	5,11673	0,07795
2836,23056	5,12315	0,08139
2777,15566	5,12975	0,08504
2719,89471	5,13653	0,08896
2665,52021	5,14347	0,09316
2613,27713	5,15058	0,09767
2563,04258	5,15782	0,10254
2514,7029	5,16517	0,1078
2468,15287	5,17261	0,1135
2423,2949	5,18007	0,11967
2380,03839	5,18749	0,12635
2338,29908	5,19479	0,1336
2297,99852	5,20188	0,14141
2259,06358	5,20864	0,1498
2221,42601	5,21492	0,15876
2185,02203	5,22057	0,1682
2149,79196	5,22548	0,17803
2115,67992	5,22948	0,18809
2082,63352	5,23251	0,19816
2050,60361	5,23454	0,20802
2019,54397	5,23562	0,21742
1989,4112	5,23586	0,22616
1960,1644	5,23542	0,23405
1931,76507	5,23447	0,24099
1904,1769	5,23318	0,24689
1877,36563	5,23172	0,25168
1851,2989	5,23027	0,25528
1825,94611	5,22904	0,25766
1801,27833	5,22829	0,25877
1777,26817	5,22833	0,25868
1753,88967	5,22945	0,25752
1731,11825	5,23191	0,25555
1708,93054	5,23589	0,25309
1687,3044	5,24145	0,2505
1666,21876	5,24854	0,24814
1645,65362	5,25704	0,24627
1625,37685	5,26674	0,24515
1605,80161	5,27744	0,24494
1586,69226	5,28892	0,24574
1568,03237	5,30093	0,24759
1549,80627	5,31329	0,25049
1531,99901	5,3258	0,25441
1514,59631	5,3383	0,25928
1497,58454	5,35064	0,265
1480,95067	5,36271	0,27145
1464,68226	5,37445	0,2785
1448,76738	5,38582	0,28602
1433,19464	5,3968	0,29388
1417,95312	5,40744	0,30196
1403,03236	5,4178	0,3102
1388,42235	5,42791	0,31851
1374,11348	5,43785	0,32687
1360,09652	5,44766	0,33524
1346,36265	5,45739	0,34359
1332,90336	5,46711	0,35189
1319,71052	5,47693	0,36011
1306,77627	5,48695	0,36831
1294,09309	5,49729	0,37657
1281,65375	5,50799	0,38502
1269,45127	5,51904	0,39385
1257,47896	5,53036	0,40318
1245,73036	5,54178	0,41313
1234,19926	5,55316	0,4237
1222,87968	5,56431	0,43485
1211,76586	5,57514	0,44646
1200,85222	5,5856	0,4584
1190,13341	5,5957	0,47054
1179,60426	5,60552	0,4828
1169,14954	5,61516	0,49517
1158,98682	5,62465	0,50768
1148,99926	5,63405	0,52041
1139,18236	5,64332	0,53343
1129,53179	5,6524	0,54683
1120,04336	5,66116	0,5607
1110,71301	5,66942	0,57504
1101,53682	5,67697	0,58984
1092,51101	5,68355	0,60496
1083,63191	5,68892	0,62015
1074,89598	5,69292	0,63508
1066,29977	5,69549	0,64927
1057,83996	5,69672	0,66224
1049,51333	5,69692	0,67351
1041,31676	5,69651	0,68271
1033,24723	5,69601	0,68956
1025,3018	5,69604	0,69398
1017,47764	5,69722	0,69603
1009,77199	5,70014	0,69592
1002,18217	5,70534	0,694
994,7056	5,71326	0,69074
987,33976	5,72421	0,68674
980,0822	5,73838	0,68264
972,93056	5,75574	0,6791
965,88254	5,77615	0,67677
958,93589	5,79929	0,67615
952,08845	5,82478	0,67772
945,33811	5,85217	0,68176
938,68282	5,881	0,68848
932,12057	5,91082	0,69802
925,64945	5,94119	0,7104
919,26755	5,97169	0,72564
912,97305	6,00188	0,74364
906,69786	6,03136	0,76426
900,57375	6,05973	0,78726
894,53181	6,08667	0,81232
888,5704	6,11192	0,839
882,68793	6,13536	0,86684
876,88282	6,15707	0,8953
871,15358	6,17724	0,92399
865,49871	6,19626	0,95255
859,91678	6,21456	0,98087
854,40639	6,2326	1,00899
848,96618	6,25073	1,03714
843,5948	6,26919	1,06573
838,29097	6,28802	1,09518
833,05341	6,30707	1,12596
827,88089	6,32596	1,15843
822,77221	6,34416	1,1928
817,72619	6,36107	1,22902
812,74169	6,37609	1,2668
807,81759	6,38879	1,30558
802,95279	6,399	1,34468
798,14624	6,40681	1,38336
793,39689	6,41263	1,42101
788,70373	6,41702	1,45726
784,06576	6,42063	1,49197
