Wavelength(nm)	n	k
193	0,87349	1,34915
194	0,86833	1,36386
195	0,86362	1,37758
196	0,85922	1,39053
197	0,85505	1,40289
198	0,85103	1,41483
199	0,84712	1,42645
200	0,84328	1,43787
201	0,8395	1,44916
202	0,83576	1,46039
203	0,83206	1,47163
204	0,8284	1,48291
205	0,82478	1,49429
206	0,82122	1,50578
207	0,81771	1,51743
208	0,81428	1,52924
209	0,81094	1,54124
210	0,80769	1,55344
211	0,80456	1,56584
212	0,80156	1,57845
213	0,79869	1,59128
214	0,79598	1,60432
215	0,79344	1,61758
216	0,79107	1,63105
217	0,7889	1,64472
218	0,78692	1,65858
219	0,78516	1,67264
220	0,78362	1,68689
221	0,7823	1,7013
222	0,78122	1,71588
223	0,78037	1,73061
224	0,77978	1,74549
225	0,77943	1,7605
226	0,77933	1,77563
227	0,77949	1,79087
228	0,77991	1,80621
229	0,78058	1,82164
230	0,78152	1,83716
231	0,78271	1,85274
232	0,78416	1,86838
233	0,78587	1,88407
234	0,78784	1,8998
235	0,79006	1,91556
236	0,79254	1,93135
237	0,79526	1,94715
238	0,79823	1,96295
239	0,80145	1,97876
240	0,80491	1,99456
241	0,8086	2,01033
242	0,81253	2,02609
243	0,81669	2,04182
244	0,82108	2,05751
245	0,82569	2,07317
246	0,83052	2,08877
247	0,83557	2,10433
248	0,84082	2,11983
249	0,84629	2,13526
250	0,85196	2,15063
251	0,85783	2,16593
252	0,86389	2,18116
253	0,87015	2,19631
254	0,87659	2,21138
255	0,88322	2,22636
256	0,89002	2,24125
257	0,89701	2,25605
258	0,90416	2,27075
259	0,91148	2,28536
260	0,91897	2,29987
261	0,92662	2,31427
262	0,93442	2,32856
263	0,94238	2,34275
264	0,95049	2,35683
265	0,95874	2,37079
266	0,96714	2,38464
267	0,97567	2,39836
268	0,98434	2,41197
269	0,99314	2,42546
270	1,00207	2,43882
271	1,01112	2,45206
272	1,02029	2,46517
273	1,02958	2,47815
274	1,03898	2,491
275	1,04849	2,50372
276	1,05811	2,5163
277	1,06783	2,52875
278	1,07764	2,54107
279	1,08756	2,55324
280	1,09756	2,56528
281	1,10765	2,57718
282	1,11783	2,58893
283	1,12808	2,60054
284	1,13841	2,61201
285	1,14882	2,62334
286	1,15929	2,63452
287	1,16983	2,64556
288	1,18043	2,65645
289	1,19109	2,66719
290	1,2018	2,67779
291	1,21256	2,68824
292	1,22337	2,69854
293	1,23422	2,70869
294	1,2451	2,7187
295	1,25602	2,72856
296	1,26697	2,73827
297	1,27795	2,74783
298	1,28895	2,75725
299	1,29997	2,76652
300	1,311	2,77565
301	1,32205	2,78463
302	1,3331	2,79347
303	1,34415	2,80216
304	1,3552	2,81072
305	1,36625	2,81913
306	1,37729	2,8274
307	1,38831	2,83554
308	1,39932	2,84354
309	1,41031	2,8514
310	1,42127	2,85913
311	1,43221	2,86674
312	1,44312	2,87421
313	1,45399	2,88156
314	1,46482	2,88878
315	1,47561	2,89588
316	1,48636	2,90287
317	1,49706	2,90974
318	1,50771	2,91649
319	1,51831	2,92314
320	1,52885	2,92968
321	1,53933	2,93611
322	1,54975	2,94245
323	1,56011	2,94869
324	1,5704	2,95483
325	1,58062	2,96089
326	1,59077	2,96686
327	1,60085	2,97275
328	1,61085	2,97856
329	1,62078	2,98429
330	1,63063	2,98996
331	1,6404	2,99555
332	1,65009	3,00109
333	1,6597	3,00657
334	1,66923	3,01199
335	1,67868	3,01737
336	1,68804	3,0227
337	1,69733	3,02799
338	1,70652	3,03324
339	1,71564	3,03845
340	1,72468	3,04364
341	1,73363	3,04881
342	1,7425	3,05395
343	1,75129	3,05908
344	1,76	3,06419
345	1,76864	3,06929
346	1,77719	3,07439
347	1,78567	3,07949
348	1,79408	3,08459
349	1,80242	3,0897
350	1,81068	3,09482
351	1,81888	3,09995
352	1,82701	3,1051
353	1,83508	3,11027
354	1,84309	3,11545
355	1,85104	3,12067
356	1,85893	3,12591
357	1,86677	3,13119
358	1,87456	3,1365
359	1,8823	3,14184
360	1,89	3,14722
361	1,89766	3,15264
362	1,90528	3,15811
363	1,91287	3,16362
364	1,92042	3,16917
365	1,92795	3,17477
366	1,93545	3,18042
367	1,94294	3,18612
368	1,9504	3,19186
369	1,95785	3,19766
370	1,96529	3,20351
371	1,97273	3,20941
372	1,98016	3,21537
373	1,98758	3,22137
374	1,99502	3,22743
375	2,00245	3,23354
376	2,0099	3,23971
377	2,01736	3,24592
378	2,02484	3,25219
379	2,03234	3,25851
380	2,03985	3,26487
381	2,0474	3,27129
382	2,05497	3,27775
383	2,06257	3,28426
384	2,0702	3,29081
385	2,07788	3,29741
386	2,08559	3,30405
387	2,09334	3,31073
388	2,10113	3,31745
389	2,10897	3,32421
390	2,11686	3,331
391	2,1248	3,33783
392	2,1328	3,34469
393	2,14084	3,35158
394	2,14894	3,3585
395	2,1571	3,36544
396	2,16532	3,37241
397	2,1736	3,37939
398	2,18194	3,3864
399	2,19035	3,39343
400	2,19881	3,40047
401	2,20735	3,40752
402	2,21595	3,41458
403	2,22461	3,42166
404	2,23335	3,42873
405	2,24215	3,43582
406	2,25102	3,4429
407	2,25996	3,44998
408	2,26897	3,45706
409	2,27805	3,46414
410	2,2872	3,47121
411	2,29642	3,47827
412	2,30571	3,48532
413	2,31507	3,49235
414	2,3245	3,49937
415	2,334	3,50638
416	2,34357	3,51336
417	2,35321	3,52032
418	2,36291	3,52726
419	2,37269	3,53418
420	2,38253	3,54107
421	2,39244	3,54793
422	2,40242	3,55476
423	2,41246	3,56156
424	2,42256	3,56832
425	2,43273	3,57505
426	2,44297	3,58175
427	2,45326	3,58841
428	2,46362	3,59503
429	2,47404	3,6016
430	2,48452	3,60814
431	2,49505	3,61464
432	2,50565	3,62109
433	2,5163	3,62749
434	2,527	3,63386
435	2,53777	3,64017
436	2,54858	3,64644
437	2,55945	3,65265
438	2,57036	3,65882
439	2,58133	3,66494
440	2,59235	3,67101
441	2,60342	3,67703
442	2,61453	3,68299
443	2,62569	3,6889
444	2,63689	3,69476
445	2,64814	3,70057
446	2,65942	3,70632
447	2,67075	3,71202
448	2,68212	3,71767
449	2,69353	3,72325
450	2,70498	3,72879
451	2,71647	3,73427
452	2,72799	3,73969
453	2,73955	3,74506
